"Street","Suburb","State","Postcode","Charger Plug Type","Total Chargers","Charge Speed (kW)","Installation Date","Network Name","Charger Manufacturer","Plugshare Score","Latest Comments","URL","Name"
"8 Webster St","Alexandra","VIC","3714","CHADEMO, COMBO_TYPE2","1","50.065","2023-07-03T18:00:16Z","Evie Networks","","10","Fast Charge, good parking spot, easy access to many cafe's etc.  (Rating: 1), Will b fished about 12.50 (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Fantastic central location with cafes, public toilets and supermarket close by. (Rating: 1),  (Rating: 1), Quick topup (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Only charging for 15 mins (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Working perfectly  (Rating: 1), Working OK (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/535987","Webster Street Car Park"
"12 Edwards Ave","Normanville","SA","5204","COMBO_TYPE2, COMBO_TYPE2","1","","2023-07-04T04:55:25Z","","","","","https://www.plugshare.com/location/538078","RAA Charge Normanville Village Green (Coming Soon)"
"21-23 Gateway Rd","Warrnambool","VIC","3280","COMBO, COMBO, COMBO","3","250, 250, 250","2021-12-06T16:15:01Z, 2021-12-06T16:16:03Z, 2021-12-06T16:16:06Z","Supercharger","Tesla, Tesla, Tesla","8.8"," (Rating: 1),  (Rating: -1), Will be here for 30mins (Rating: 1),  (Rating: -1), Managed to charge GWM Ora in bay 1 by backing up onto Kerb at an angle - lots of looks from perplexed passers by but better than the alternatives. Using bay two would necessitate using the plug from bay 1.  An extra 50cm cable would make these chargers much more useful. (Rating: 1), WTF. Only one of 3 accessible - which of course is occupied. (Rating: -1), Here for 25mins ‘ish. Gone to get a coffee (Rating: 0), Must download the Tesla app and it is way more expensive than others (Rating: 1), Won't accept cards, have to use the chargefox app (Rating: 1), Charging to 100% for next leg of trip
Message me if need charger, happy to move it (Rating: 0), Test charging Kona at Tesla.  (Rating: 1), Rigmarole setting up but wotking (Rating: 1), We tried 1b and 1c for our atto3 and couldn’t get either to activate.  The instructions seem to indicate both that we plug in our car BEFORE we select the station and then select ‘start charging’, and also the we plug in AFTER we select the station ID.  (Rating: -1),  (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1), Now available for non-Teslas

https://www.drive.com.au/news/tesla-opens-30-superchargers-to-electric-cars-australia/ (Rating: 0), #AUSYtour (Rating: 1), Quick and easy (Rating: 1),  (Rating: 1),  (Rating: 1), Charging well - battery cold (Rating: 1), Arrived with 2% battery remaining! (Rating: 1), Just works (Rating: 1),  (Rating: 1), Here for an hour (Rating: 1), Great position but could not use due to my vehicle being a BYD (Rating: -1), Arrived 31% (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), All three working (Rating: 1), Lunch & a charge (Rating: 1), Watch out for angry local ICER’s. An old guy in a Ute was very aggressive when I politely asked him if he knew he has parking illegally in an EV spot.  (Rating: 1),  (Rating: 1),  (Rating: 1), BMW Ix3 no go sadly.
If Tesla only then how come the Volvo did? (Rating: -1), Always good here (Rating: 1), Apparently Tesla only. Pretty mean.  (Rating: -1),  (Rating: 1), Tesla chargers never broken unlike those Tritium ones.  (Rating: 1),  (Rating: 1), Great charge. Very fast.  Near shops toilets and good food options (Rating: 1),  (Rating: 1), Quick top up to get home. (Rating: 1), Convenient spot for a supercharger.  (Rating: 1),  (Rating: 1),  (Rating: 1), No other cars. Quick charge. Good location within a major shopping mall. (Rating: 1), Arrived with 3%. Charging at 170 kW. 2 open stalls (Rating: 1), Took the last of 3. Charged at 1000km. All good (Rating: 1)","https://www.plugshare.com/location/351196","Warrnambool Supercharger"
"5 Bank St","Port Fairy","VIC","3284","CHADEMO, COMBO","1","","2023-01-21T01:31:11Z","","","","Absolutely no evidence of infrastructure or any work at all. Very disappointing as the southwest remains a black hole for non Tesla drivers.  -- checkin created before location officially marked open (Rating: 0), No evidence of any work yet. Is there any update on likely installation? -- checkin created before location officially marked open (Rating: 0), No build started yet -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/484849","Evie Networks - Port Fairy (Coming Soon)"
"314 Riverside Dr","Jugiong","NSW","2726","CHADEMO, COMBO","1","50","2019-07-20T07:41:20Z","NRMA","Tritium","10","Charge completed. All good. (Rating: 1), Charging until 1 pm  (Rating: 0), Will be here 30mins (Rating: 1), Beautiful spot (Rating: 1), Will be finished by 3.15pm (Rating: 0),  (Rating: 1), Will be finished around 1pm (Rating: 1), Leaving at 11.15am (Rating: 1), Pollster driver WW was seen disengaging another persons charge. When asked, denied. Please respect other people’s charging.  (Rating: 0),  (Rating: 1), There's a Tesla plugged in but not charging. (Rating: 0), Charging for the next 30 minutes  (Rating: 1),  (Rating: 1), Here for 30mins (Rating: 1),  (Rating: 1), Here for 30 minutes. Over at the Pantry.  (Rating: 1), Here 30 mins  (Rating: 1),  (Rating: 1), Cut out twice mid-charge, so it pays to keep an eye on your EV's app while you're enjoying your coffee and toastie at The Long Track Pantry across the road. (Rating: 1), Etd 8.30 (Rating: 1), Charging to 8.45pm (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Will be about 65 minutes. (Rating: 1), Here until about 1700. (Rating: 1),  (Rating: 1),  (Rating: 1), Can't connect (Rating: -1), Finished (Rating: 1), Be here for awhile 1.5hrs or longer (Rating: 0),  (Rating: 1),  (Rating: 1), Here for about another 30mins. (The charger is opposite the pub and the bakery on the main road, not down the side road where Google maps directs you.) (Rating: 0), Here till about 1:00 - still free (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), On charge until 2:30pm (Rating: 0), Done by 7:10. (Rating: 1),  (Rating: 1), Will be here for30 minutes (Rating: 0), Be here till about 4pm :)  (Rating: 1), Charging till 3:30pm (Rating: 1), Charging now and will be done at judt after 1pm
 (Rating: 1),  (Rating: 1),  (Rating: 1), Charging now 40 mins (Rating: 0)","https://www.plugshare.com/location/198715","Jugiong Playground & Swimming Pool"
"221 Bayview Rd","Point Turton","SA","5575","TESLA_S, TESLA_S","2","3, 3","2018-03-30T18:08:09Z, 2018-03-30T18:09:18Z","Tesla Destination","Tesla, Tesla","9","Point Turton has at least 2 type 2 outlets, charge at about 3.5 kE (Rating: 0), 3kw charging for those staying in the LuxPods. It is slow single phase 16 Amp charging. (Rating: 1), The Lux Pods are great (you need to book one to use the charger). In reality though, they are only 3kw and only just faster than a standard 10Amp outlet (2kw).  (Rating: 1), Yesterday evening, running low, we asked if we could use the charger even though we were not booked in to stay at this accommodation.  Friendly people, all good.  But charger excruciatingly slow.  (Rating: 1), Great views, excellent accommodation and very handy charger (Rating: 1), Brilliant overnight accommodation in a Luxe Pod. 16amp single phase. (Rating: 1)","https://www.plugshare.com/location/236721","Point Turton Caravan Park"
"4655 S Gippsland Hwy","Lang Lang","VIC","3984","COMBO_TYPE2","1","","2023-08-25T06:29:15Z","","","","","https://www.plugshare.com/location/553094","Coles Express On The Run (OTR) Lang Lang (Coming Soon)"
"74A Vincent St","Daylesford","VIC","3460","COMBO_TYPE2, CHADEMO","1","25","2022-07-26T22:19:31Z","Chargefox","Delta Electronics","2.4","Does not work! (Rating: -1),  (Rating: -1), Still broken, tried the reset trick which got it back to the prompt screen but was still unable to charge either with the app or using a card directly on terminal (Rating: -1), Only charger in town, not good enough Chargefox!!! Lucky my hotel allowed me to run a lead into their halllway.  (Rating: -1), Out of action  (Rating: 0), Took two attempts to start charging then cut out after 20mins. Sent Chargefox a message. (Rating: 0), Here till 15:05 (Rating: 1), Waiting to charge  (Rating: 0), Charging 60 minutes  (Rating: 0), Waiting to charge, no idea how long the car ahead of me will be. Charging station provides no info - 1:35pm (Rating: 0), Waiting to charge  (Rating: 0), 🔌10:30 / 🔋12:15 (Rating: 1), Will be 45 mins. Just having lunch  (Rating: 1), 🔌08:45 /🔋10:15 (Rating: 1), Be finished by 1pm (Rating: 1), Plugged in at 6:45pm and will be back by 8:30pm. Charger is working fine. (Rating: 1), Very slow. Try to avoid unless desperate (Rating: 1),  (Rating: 1), Will pick up around 7:30 am (Rating: 1), Going to the Borealis show. Will collect it after. (Rating: 1),  (Rating: 1),  (Rating: 1), charging 1 hr (Rating: 1), Thanks Hepburn council 😀 works well (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging for one hour. Can move if you need it.  (Rating: 1), Started at 6% at 6:20. Expect 2.5 hours charging. If you are in desperate need, I can pause. (Rating: 1),  (Rating: 1),  (Rating: 1), Be another 30 mins or so (Rating: 1), Great location. Central Daylesford.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Good  (Rating: 1),  (Rating: 1),  (Rating: 1), Hi, I used the CCS this afternoon and the charger stopped suddenly at 2.15pm. Battery was still half empty. Err.. The charger displayed an error msg. I couldn't make it work by unplugging and plugging it in. Is there a way to rest these chargers? Thanks (Rating: -1), Hi, I used the CCS this afternoon and the charger stopped suddenly at 2.15pm. Battery was still half empty. Err.. The charger displayed an error msg. I couldn't make it work by unplugging and plugging it in. Is there a way to rest these chargers? Thanks (Rating: -1), I used the CCS this afternoon. The charger stopped working suddenly at 2.15pm.. my battery was half empty.. errr . The charger display was showing an error and I couldn't make it work. Is there a reset for these chargers to make it work again? Cheers (Rating: 1), Finished at 6.15 (Rating: 1),  (Rating: 1), Very flat. Big charge (Rating: 1), Ok 22 kW 50 mins.
It was falted when I came. Error on screen Chinese. I did the red button clockwise till it popped. Waited for a Reboot. Un plugged and re plugged started from Fox app. All good now in English. Use google translate auto language via live camera to understand what's up untill it comes to English. (Rating: 1), All good. (Rating: 1), Will be here for 1 hour  (Rating: 1), CHadeMO working today (Rating: 1), 100 km/hr 
NOTE CHADEMO DOESN’T APPEAR TO BE WORKING (Rating: 1)","https://www.plugshare.com/location/270595","Daylesford Town Hall"
"2600 Unnamed Road","Wolgan Valley","NSW","2790","TESLA_S, TESLA_S, J1772","3","6, 6","2017-05-15T23:17:47Z, 2017-05-15T23:18:18Z, 2019-02-17T02:11:14Z","Tesla Destination","Tesla, Tesla","","Charged at 35km/h. Thanks for the amazing weekend One & Only Wolgan Valley! (Rating: 1)","https://www.plugshare.com/location/117554","Emirates One & Only Wolgan Valley"
"46 Providence Rd","Providence Portal","NSW","2629","TESLA_S, TESLA_S, TESLA_S, TESLA_S","4","22, 22, 22, 22","2023-06-08T13:55:12Z, 2023-06-16T17:58:34Z, 2023-06-16T17:58:35Z, 2023-06-16T17:58:36Z","Tesla Destination","Tesla, Tesla, Tesla, Tesla","","Excellent location to plug in and have a picnic by lake, great staff and 4 charging bays.. will visit again.. (Rating: 1), 4 bays (Rating: 1)","https://www.plugshare.com/location/530864","Providence Park"
"146 Old Hume Hwy","Mittagong","NSW","2575","COMBO_TYPE2, CHADEMO","1","50","2018-09-23T23:19:30Z","NRMA","Tritium","10","Charging now be about 25 minutes   Finished  (Rating: 0), Waiting  (Rating: 0),  (Rating: 1), Waiting to charge - another car currently using unit at about 60% charge


CHARGING NOW

Will be here until about 3:10pm (Rating: 0),  (Rating: 1), Charging for about an hour  (Rating: 0), BYD Car Waiting  (Rating: 0), Will be here for 1 hour 30 mins  (Rating: 1), Will be here until about 11:45 (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1), Waiting  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 2 Cars waiting (Rating: 0),  (Rating: 1), Will be here for 1hr (Rating: 1), 45 min charge  (Rating: 1), 1:05 remaining  (Rating: 0),  (Rating: 1),  (Rating: 1), Waiting from 6:05pm (Rating: 0), Nice and quick (Rating: 1),  (Rating: 1), Charging for about an hour (Rating: 0), Waiting to charge  (Rating: 0), Waiting to charge  (Rating: 0),  (Rating: 1), Until 7:50 (Rating: 1), Too cold... Not enough time to wait (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Will be here for 1 hour (Rating: 1), In queue  (Rating: 0),  (Rating: 1), Waiting to charge  (Rating: 0), One charger in use   We couldn’t wait an hour for it to be vacant. 
A few more chargers in Mittagong are needed (Rating: -1), First time no queue  (Rating: 1),  (Rating: 1),  (Rating: 1), Tesla model 3 charging, at 57% so will be a while (Rating: -1),  (Rating: 1), Charging until 7pm (Rating: 0), Here until about 1715 (Rating: 1), Here for 30mins  (Rating: 1), Here for 1hr  (Rating: 0)","https://www.plugshare.com/location/166796","Mittagong RSL Car Park"
"126-144 Pound St","Grafton","NSW","2460","CHADEMO, COMBO","1","50","2019-07-08T04:34:00Z","NRMA","Tritium","10"," (Rating: 1), While charging, the unit did display an error message - it fixed itself by unplugging, placing back into the unit and then back into the car. (Rating: 0),  (Rating: 1), be about 20 min (Rating: 0),  (Rating: 1),  (Rating: 1), Had to do an E-Stop reset to get the charger started (Rating: 1), Here for 25 minutes  (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here for an hour (Rating: 1), will be 30 min (Rating: 0), Will be done by 8:15pm (Rating: 0), If I'm having a nap, knock persistently on my window. I need minimum an hr. (Rating: 1), Charging now for 30 mins  (Rating: 0), Waiting to charge  (Rating: 0),  (Rating: 1),  (Rating: 1), Finished approx 5:30 (Rating: 1), Currently waiting to charge (Rating: 0), Charging  (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 40min  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), I'm hear for 35 minutes  (Rating: 1),  (Rating: 1), Just waiting for the charger to become available . 0404692845  (Rating: 0), Seems to be charging ok 👍  (Rating: 1), Called the NRMA number, did a reset, still not working (for Chademo) (Rating: -1), Should be done around 6.40pm (Rating: 1),  (Rating: 1),  (Rating: 1), I'm hear 40 minutes  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging now (Rating: 0),  (Rating: 1), Should be 20mins (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/196970","Grafton Public Library"
"2848 Big River Way","Tyndale","NSW","2460","CHADEMO, COMBO_TYPE2, CHADEMO, COMBO_TYPE2","1","184","2022-11-10T18:37:56Z","Evie Networks","Tritium","10","App says it was in use but there was nobody here. Charging now.
Update - can't seem to check out so maybe that's the problem. 
Successful charge  (Rating: 1),  (Rating: 1),  (Rating: 1), Should be done by 1:15, Tesla charging next to me (Rating: 1), Be gone 1130 or before (Rating: 1),  (Rating: 1), 
 (Rating: 1), HS010#4 (Rating: 1), HS010 #4 (Rating: 1),  (Rating: 1), Screen out on 1/2 unit.  Connector 4 working fine. (Rating: 1),  (Rating: 1), Evie is having serious software problems and one Tritium has lost its screen. Get serious people. This is sub standard. Call in some experts and sort it out. Losing customers to scoffs Harbour BP!!! (Rating: 0), Here for 15 mins (Rating: 1), Station 2 keeps dropping out and screen not working. Station 4 working. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Screen on LHS charger not working but charger started ok with evie card. Charging at 89kW. Here till 2:30pm (Rating: 0), 1&2 not working. 3 & 4 are ok. (Rating: 1),  (Rating: 1), Used #4 as screen not working on 1&2

The service station has the most amazing handmade chocolates - local - best thing about Eve charging is discovering these things  (Rating: 1), 1 and 2 screen broken but can still charge by using the app (Rating: 1), 1&2 not on line..charging at 4  (Rating: 1),  (Rating: 1),  (Rating: 1), Handy to have Evie card, not much mobile reception here. Great charger 😊 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Weak reception for the app. Reached the final step several times at which point it failed. Another driver having the same problem  (Rating: -1),  (Rating: 1), Nice chargers, grotty toilets  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Very little phone reception with telstra. Could take a while to start up. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/325834","Shell Tyndale"
"16 Wills St","Bright","VIC","3741","CHADEMO, COMBO_TYPE2","1","50","2023-09-05T17:32:53Z","Evie Networks","Tritium","10","Great working charger  (Rating: 1),  (Rating: 1),  (Rating: 1), Should be charged by 3;30 (Rating: 1),  (Rating: 1),  (Rating: 1), Back by 7pm
 (Rating: 1),  (Rating: 1), Will be here anot 45 minutes  (Rating: 1),  (Rating: 1), Charging to 90% 

DM if you need the ccs and I'll come move it  (Rating: 1),  (Rating: 1),  (Rating: 1), Hey, charging the car to 100% as we'll be making our way back to Melbourne.  (Rating: 1), Hi All, just plugged in at 22:01. Will be here for an 1 hour 20 mins. Please call me if needed if it’s done and I’m not back. 0467 427 908 (Rating: 1), Just topping up, text me if you need to charge I’ll unlock remotely. 0450368378 (Rating: 1), Topping up to go up the hill, need to charge, park next to me I’ll plug you in when I’m done.  (Rating: 1), Unplugged the Volvo which was full at 100%. 
 (Rating: 1),  (Rating: 1), Took about 1 hour to get from 23% to 100% but enough time to eat, toilet, get chains and have a few tantrums  (Rating: 1),  (Rating: 1),  (Rating: 1), East to use. Good location.  (Rating: 1), Will be here till 11.45 (Rating: 1), Quick charge, will be here til 7am (Rating: 1),  (Rating: 1), There for 40 mins.  Please call me on 0409119505 if you need the charger when my car is charged  (Rating: 1), Will be here till 10:30ish. (Rating: 1), Here until 15.15 (Rating: 1), Finished at approx 13.00 pm (Rating: 1),  (Rating: 1), Be here 45min for breakfast (Rating: 1),  (Rating: 1), Will be back just before 7pm (Rating: 0),  (Rating: 1), Here until 12:05pm (Rating: 1), Be back after brunch, but charger accessible from the other bay if needed. Message me and I can unlock charge port etc etc. if you need charger before we are back! (Rating: 1), Should be done around 7:20 (Rating: 1),  (Rating: 1), Gone now! (Rating: 1), Charging now, but will be back before it finishes. All done (Rating: 1), Will leave before 12pm (Rating: 1),  (Rating: 1),  (Rating: 1), Charging.  I’m at doctors so will try to be back at end. If not please message me and I’ll unlock the charge port for you. 

Cheers
 (Rating: 1), Here till 2:20 (Rating: 1), Charger kept idling and would remain connected for more than a few seconds 😞 (Rating: -1), Here now . Will be here until 10:30am (Rating: 1),  (Rating: 1), Be back at 6:30pm (Rating: 1)","https://www.plugshare.com/location/512324","Bright"
"122-160 Grubb Rd","Ocean Grove","VIC","3226","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","50, 22","2020-03-13T00:31:04Z, 2023-07-31T18:22:41Z","Chargefox","Tritium","10"," (Rating: 1), Great thanks. It's interesting to see some VIP park while not charging (Rating: 1), Charger working perfectly - here for the next 45 mins. Sitting at 48.7kW charge rate.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Quick top up while ducking into shops (Rating: 1), At hairdresser next to charging station if you need me to move, pop in and let me know  (Rating: 1), Will be here for another hour  (Rating: 1),  (Rating: 1),  (Rating: 1), 44kw stopped twice (Rating: 1), 0401629673
Peter (Rating: 1),  (Rating: 1),  (Rating: 1), Could not activate first time. Had to try a few times. Finally worked with the RFID card. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Stopped after 9 minutes.
 (Rating: 1), Easy 
No problems (Rating: 1),  (Rating: 1), White Model Y - Just started charging (5.30pm) will likely finish at 7.00pm.

Charging on Tesla destination charger  (Rating: 1), No wait.
Fast and  easy via the app.
46 to 93 % in 45min. (Rating: 1), 11kW on Tesla Destination charger. 
Charger working well as per usual. Will be here until 10.30pm
 (Rating: 1),  (Rating: 1), Took a  couple of goes to get started  ,now OK (Rating: 1), Only the CCS side working atm. 50kW on the CCS so all good (Rating: 0), Just picked up new BYD Atto3 earlier this week and trialing charging stations and rates. Have now set up ChargeFox A/C and put 15kWh in 20 mins charging (Rating: 1), BDU878 Model 3 is parked but not connected to a charger... Blocking accss (Rating: -1),  (Rating: 1), 50kW occupied, 2 Tesla destination occupied, chargefox AC available  (Rating: 1),  (Rating: 1),  (Rating: 1), Kicked off after 15 minutes, couldn’t get it working again. Submitted a report through Chargefox.  (Rating: -1),  (Rating: 1), Here til 1300 (Rating: 0),  (Rating: 1), Great to see the fast charger back in action. (Rating: 1),  (Rating: 1), Here till 4.30pm
Booted off the system after 20 min
And not able to reconnect
So still a bit buggy
Maybe because of the rain? (Rating: 1), Back by 1140 (Rating: 1), Available and fast. 😁 5 star (Rating: 1), Available and quick charge. 😁 (Rating: 1), Not sure why but this charger has stopped twice and required a restart. (Rating: 1), Currently charging 40 minutes to completion (Rating: 1),  (Rating: 1), Currently charging will be done 16.20. (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/239158","Kingston Village Square (DC Fast Charger)"
"19 Willoby St","Beaufort","VIC","3373","COMBO_TYPE2, CHADEMO, COMBO_TYPE2, COMBO_TYPE2","2","50.116, 50.116","2023-06-16T16:20:44Z, 2023-06-16T16:20:44Z","Evie Networks","","10","Working (Rating: 1),  (Rating: 1), Great service, close to shops and facilities  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging at 49kW,  (Rating: 1), Charging for 30 minutes finish at 10.15 (Rating: 1), Will be about 1hour (Rating: 1),  (Rating: 1),  (Rating: 1), Stop for coffee toilet and ev juice (Rating: 1), 45 mins (Rating: 1), All working. I am the only one here. (Rating: 1), Great spot - toilet break and coffee from the Pantry. Such a welcomed charging spot given the massive charging black hole  between Hamilton and Melbourne! Tucked away off the Main Street is a great relief from the noisy trucks.  (Rating: 1), Quick charge and toilet break. (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging for  20 more minutes (Rating: 1), Convenient locale (Rating: 1),  (Rating: 1), Three CCS plugs available. (Rating: 1),  (Rating: 1), Convenient carpark near shops (Rating: 1), Fast charge at 51kw. Handy to cafes.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Almost 1AM. great fun 2 DEGREES  AND nick.Kerry was talking to us. Regards Rob de Jonge 0404 135 357  (Rating: 1),  (Rating: 1),  (Rating: 1), Worked well (Rating: 1), A charge for the car - a snooze for me! 
 (Rating: 1), Working well (Rating: 1), Charged several times, good experience 😄 (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/532106","19 Willoby Street Beaufort Carpark"
"52 John St","Singleton","NSW","2330","CHADEMO, COMBO","1","","2022-12-18T04:47:43Z","AmpCharge","","","","https://www.plugshare.com/location/478672","Ampol Singleton (Coming Soon)"
"4994 Great Alpine Rd","Ovens","VIC","3738","TESLA_S, COMBO, TESLA_S, COMBO, TESLA_S, COMBO, TESLA_S, COMBO","4","120, 120, 120, 120","2019-07-23T17:38:33Z, 2019-07-23T17:40:17Z, 2019-07-23T17:40:20Z, 2019-07-23T17:40:23Z","Supercharger","Tesla, Tesla, Tesla, Tesla","10","2B not working (Rating: 1), Stop 2 on Mel Syd road trip. Charging @ 120kW.
Make sure you try the coffee and muffin from the lovely lady next door. (Rating: 1),  (Rating: 1), 2 B charger out of order (Rating: 1),  (Rating: 1),  (Rating: 1), 2 chargers are out of action.  Two working fine.   (Rating: 1), Easily accesable and the happy valley hotel is just across (Rating: 1), All good (Rating: 1), No wait. 115 kw (Rating: 1),  (Rating: 1),  (Rating: 1), 2B won't charge. Pulling 80kwh (Rating: 1), Unfortunately the pub isn't open Mon or Tues, the coffee was good last time. (Rating: 1),  (Rating: 1),  (Rating: 1), It works well  (Rating: 1),  (Rating: 1), There’s a coffee van open Wednesday to Sunday selling coffee, biscuits, dim sims and muffins.  The hotel toilets are available and clean.  Perfect.   (Rating: 1), Charged 50% to 100% in 43 minutes. Have to come from Bright to charge.  (Rating: 1),  (Rating: 1),  (Rating: 1), Perfect charge (Rating: 1), 
 (Rating: 1),  (Rating: 1),  (Rating: 1), :
""Tesla charger"" says it all (Rating: 1), Why does these chargers not appear in the Tesla’s chargers list ????   Charging nice at 120 kw  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), At the pub for lunch (Rating: 1), Quick top up (Rating: 1),  (Rating: 1),  (Rating: 1), Tesla only!  (Rating: 0),  (Rating: 1),  (Rating: 1), Me and one old ICE, and now an S showed up. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 10kw added (Rating: 1), Charging 880km/hr (130kw) (Rating: 1), 2b (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/199337","Happy Valley Hotel"
"42 View St","Bendigo","VIC","3550","COMBO_TYPE2, CHADEMO, COMBO_TYPE2, CHADEMO, CHADEMO, COMBO_TYPE2","2","50.116, 50","2022-10-05T18:28:30Z, 2023-09-09T10:05:14Z","Evie Networks","Tritium","10","
 (Rating: 1),  (Rating: 1),  (Rating: 1), Could not charge! 4 ICE vehicles taking up all spaces! Not impressed, we just drove 230k and wanting to charge here (Rating: 0),  (Rating: 1),  (Rating: 1), Be about 20 minutes (Rating: 1), Good location. A2 port didn't work for us, B2 working fine. 59kw.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here until 245pm (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here for 45 mins (Rating: 1),  (Rating: 1),  (Rating: 1), Will be about 20 mins (Rating: 1), Friday night footy is on so have had a few run in’s with people trying to park petrol cars in the charging bays (Rating: 1), All good (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Leaving about 7:30pm (Rating: 1), Both machines now working  (Rating: 1), Only 36kW (Rating: 1),  (Rating: 1), Plenty spare charges (Rating: 1),  (Rating: 1), Station A CCS couldn't communicate with me. Station B fine (Rating: 0),  (Rating: 1), Started at 5:59pm at $0.40 kWh. (Rating: 1),  (Rating: 1), Back by noon (Rating: 1), Back by noon (Rating: 1), Charged before I could finish dinner at the pub.  (Rating: 1),  (Rating: 1), Charging. Back 4pm (Rating: 1), Our first public charge, going smoothly  (Rating: 1), Will be finished in 45 minutes  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), CV015A CCS plug not working. Tried connected via app and using the RFID card, it wouldn’t connect to the car.  (Rating: 1), It’s not charging my car. The station name is CV015A.  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/338381","Bendigo Art Gallery"
